resolution,summary
"resolution of the miami city commission, with attachment(s), pursuant to section 18 72 of the ode of the city of miami, florida, as amended, allocating funds in the amount of $131,473.88 to the agencies specified in exhibit a, attached and incorporated, for public service activities for program year 2021 2022 from the social service gap program unds, account no. 14010.910101.882000; further authorizing the city manager to negotiate and execute any and all necessary documents, all in forms acceptable to the city attorney, for said purpose. history: 11 18 21 city commission deferred next: 01 13 22 result: deferred [unanimous] next: 13 2022 9:00 am mover: joe carollo, vice chair, district three seconder: alex diaz de la portilla, commissioner, district one ayes: russell, diaz de la portilla, carollo, reyes, king ph.2 10930 department of housin and community development resolution","Miami City Commission allocated $131,473.88 to agencies for public service activities for 2021-2022 from social service gap program funds."
"resolution of the miami city commission, with attachment(s), allocating an amount not to exceed $1,018,719.18 in american rescue plan funds to the agencies departments specified in exhibit a, attached and incorpor ated, for elderly meals and child care assistance, subject to all federal, state, and local laws that regulate the use of such funds; further authorizing the city manager to negotiate and execute any and all necessary documents, including amendments, exten sions, and modifications, subject to all federal, state, and local laws that regulate the use of such funds, and all in forms acceptable to the city attorney, for said purpose. history: 11 18 21 city commission deferred next: 01 13 22 result: deferred unanimous] next: 13 2022 9:00 am mover: joe carollo, vice chair, district three seconder: alex diaz de la portilla, commissioner, district one ayes: russell, diaz de la portilla, carollo, reyes, king city commission meeting agenda january 13, 2022 city of miami page 13 printed on 2022 ph.3 11245 department of real estate and asset manag ement resolution","Miami City Commission allocates up to $1,018,719.18 in American Rescue Plan funds to agencies for elderly meals and child care assistance"
"resolution of the miami city commission, with attachment(s), pursuant to section 29 b(c) of the charter of the city of miami, florida, as amended, authorizing the city manager to negotiate and execute grant of easement (easement), in form acceptable to the city attorney, to miami dade water and sewer department, political subdivision of the state of florida (wasd), for perpetual, non exclusive easement with total size of approximately two thousand four hundred fifty four (2, 454) square feet located at the city of miami (city) owned properties identified as folio number 01 4122 0020040 and folio number 01 4122 0020015, as more particularly described in exhibit a, for wasd to construct, reconstruct, lay, install, operate, maintain, relocate, repair, replace, improve, remove, and inspect water transmission and distribution facilities and all appurtenances thereto, including but not limited to, fire hydrants, sewage transmission and collection facilities, and all appurtenant equipment, which right, privilege, and easement shall include the right to remove or demolish, as may be necessary to carry out any right granted herein, with the full right of ingress thereto and egress therefrom, in accordance with the terms and conditi ons of the easement, including, without limitation, reverter provision if the easement is abandoned or discontinued; further authorizing the city manager to negotiate and execute any and all necessary documents, including amendments and modifications to said easement, all in forms acceptable to the city attorney, as may be necessary to effectuate the easement. city commission meeting agenda january 13, 2022 city of miami page 14 printed on 2022 ph.4 11161 resolution","Miami City Commission authorizes City Manager to grant a perpetual easement to Miami-Dade Water and Sewer Department for construction, repair, and maintenance of water and sewage facilities on City-owned properties."
"resolution of the miami city commission, with attachment(s), by four fifths (4 5ths) affirmative vote, after an adver tised public hearing, ratifying, approving, and confirming the city manager finding, attached and incorporated as exhibit a, that competitive negotiation methods and procedures are not practicable or advantageous for the city of miami (city) pursuant to section 18 85(a) of the code of the city of miami, florida, as amended; waiving the requirements for said procedures; allocating american rescue plan act of 2021 (arpa) funds, on reimbursement basis, in total amount not to exceed three million on hundred fifty thousand dollars ($3,150,000.00) to the following organizations in the following not toexceed amounts and for the following arpa eligible purposes: (i) two hundred thousand dollars ($200,000.00) to the sundari foundation, inc., florida ot for profit corporation, on behalf of lotus house, to provide support for individuals who have experienced negative economic impact from the novel coronavirus (covid 19) public health emergency by providing tradesman, tech, and other arpa eligible jo training for unemployed individuals, (ii) two hundred thousand dollars ($200,000.00) to chapman partnership, inc., florida not for profit corporation, to provide support for individuals who have experienced negative economic impact from the covid 19 public health emergency by providing tradesman, tech, and other arpa eligible job training for unemployed individuals, (iii) seven hundred fifty thousand dollars ($750,000.00) to the miami foundation for mental health, inc., florida not for profit corpor ation, for services to address behavioral healthcare needs exacerbated by the covid 19 public health emergency, and (iv) the following allocations are for camillus house, inc., florida not for profit corporation: eight hundred thousand dollars ($800,000. 00) for supportive housing and other services for individuals experiencing homelessness, four hundred thousand dollars ($400,000.00) for the lazarus matt talbot programs for substance misuse treatment and mental health services, four hundred thousand dolla rs ($400,000.00) to provide support for individuals who have experienced negative economic impact from the covid 19 public health emergency by providing culinary arts and hospitality job training for unemployed individuals, and four hundred thousand doll ars ($400,000.00) to provide support for individuals who have experienced negative economic impact from the covid 19 public health emergency by providing construction tradesman job training for unemployed individuals, provided that these allocations are approved in writing by the citys arpa consultant (consultant approval) who is to be retained by the city pursuant to request for quotation no. 1431386 authorizing the city manager to negotiate and execute any and all necessary documents, including amen dments, extensions, and modifications, all in forms acceptable to the city attorney, subject to compliance with all applicable federal, state of florida, local, and city laws, rules, and regulations, for said purpose. sponsor (s): mayor francis x. sua rez, commissioner manolo reyes city commission meeting agenda january 13, 2022 city of miami page 15 printed on 2022 ph.5 11237 resolution",The Miami City Commission approved the allocation of American Rescue Plan Act funds totaling $3.15 million to various organizations for COVID-19 related support services and job training.
"resolution of the miami city commission, with attachment(s), pursuant to section 18 85(a) of the code of the city of miami, florida, as amended, by four fifths (4 5ths) affirmative vote, after an advertised public hearing, ratifying, approving, and confirming the city manager findings, attached and incorporated as exhibit b, that competitive negotiation methods and procedures are not practicable or advantageous for the city of miami (city) nd waiving the requirements for said procedures; authorizing the allocation of grant funds from the district commissioner share of the citys anti poverty initiative (api) in total amount not to exceed one hundred fifty thousand dollars ($150,000.0 0) to the martin luther king economic development corporation, florida not for profit corporation, for three (3) year api agreement term in support of the mlk wheels to work program; further authorizing the city manager to negotiate and execute any and all documents necessary, all in forms acceptable to the city attorney, for said purpose. sponsor (s): commissioner christine king ph.6 11268 resolution","The Miami City Commission passed a resolution waiving competitive negotiation procedures and approving the allocation of grant funds up to $150,000 to the Martin Luther King Economic Development Corporation for the MLK Wheels to Work program"
"resolution of the miami city commission, with attachment(s), pursuant to section 18 85(a) of the code of the city of miami, florida, as amended, by four fifths (4 5ths) affirmative vote, after an advertised public hearing, ratifying, approving, and confirming the written finding of the city manager, attached and incorporated as exhibit a, th at competitive negotiation methods and procedures are not practicable or advantageous for the city of miami (city) and waiving the requirements for said procedures; authorizing the allocation of grant funds from the district commissioner share of the citys anti poverty initiative in total amount not to exceed one hundred fifty thousand dollars ($150,000.00) to the foundation of community assistance and leadership, inc. (focal), florida not for profit corporation, in support of the focal moore ark learning center program; further authorizing the city manager to negotiate and execute any and all documents necessary, all in forms acceptable to the city attorney, for said purpose. sponsor (s): commissioner christine king city commission meeting agenda january 13, 2022 city of miami page 16 printed on 2022 ph.7 11269 resolut ion","Miami City Commission ratified city manager's finding that competitive negotiation methods are not advantageous and allocated $150,000 to the Foundation of Community Assistance and Leadership for the FOCAL Moore Ark Learning Center program"
"resolution of the miami city commission allocating grant funds from the district commissioner share of the city of miamis anti poverty initiative program in total amount not to exceed one hundred fifty thousand dollars ($150,000.00) to the li berty city community revitalization trust (trust) for the trust 2022 summer youth employment program; further authorizing the city manager to negotiate and execute any and all documents necessary, subject to applicable requirements of all federal, stat e, and local laws including the charter of the city of miami, florida, as amended, and code of the city of miami, florida, as amended, and in forms acceptable to the city attorney, for said purpose. sponsor (s): commissioner christine king ph.8 11286 resolution","Miami City Commission approved a resolution allocating grant funds of up to $150,000 from the district commissioner share of the city's anti-poverty initiative to the Liberty City Community Revitalization Trust for their 2022 summer youth employment program."
"resolution of the miami city commission, with attachment(s), pursuant to section 18 85(a) of the code of the city of miami, florida, as amended, by four fifths (4 5ths) affirmative vote, after an advertised public hearing, ratifying, app roving, and confirming the written finding of the city manager, attached and incorporated as exhibit a, that competitive negotiation methods and procedures are not practicable or advantageous for the city of miami (city) and waiving the requirements fo said procedures; authorizing the allocation of grant funds from the district commissioner share of the citys anti poverty initiative in total amount not to exceed three hundred forty seven thousand dollars ($347,000.00) to the martin luther king conomic development corporation (mlkedc), florida not for profit corporation in support of the kitchen incubator and community dining hall program; further authorizing the city manager to negotiate and execute any and all documents necessary, in form acceptable to the city attorney, for said purpose.d purpose. sponsor (s): commissioner christine king end of public hearings city commission meeting agenda january 13, 2022 city of miami page 17 printed on 2022 re resolutions re.1 11121 office of capital improvements resolution","Miami City Commission approves grant funds not exceeding $347,000 from the anti-poverty initiative to the Martin Luther King Economic Development Corporation for the kitchen incubator and community dining hall program."
"resolution of the miami city commission, with attachment(s), accepting the proposal received on may 13, 2020 pursuant to request for qualifications no. 19 20021 from a.d.a. engineering, inc., florida profit corporation (a.d.a.), the top ranked responsive and responsible proposer, for provision of ivil engineering services for shorecrest road and drainage improvements, 5, city of miami (city) office of capital improvements (oci) project no. 17365 for total not to exceed amount of one million one hundred ninety six thousand two hundred seve nty three dollars and fifty six cents ($1,196,273.56), including not to exceed amount of one million eighty seven thousand five hundred twenty one dollars and forty two cents ($1,087,521.42) for basic services as provided in exhibit a, attached and inc orporated, not to exceed amount of eighty thousand dollars ($80,000.00) for dedicated allowances, and not to exceed amount of one hundred eight thousand seven hundred fifty two dollars and fourteen cents ($108,752.14) for an owners ten percent (10%) ontingency allowance; allocating funds from the appropriate oci project and departmental budgets, subject to the availability of funds and budgetary approval at the time of need; authorizing the city manager to negotiate and execute professional services agreement with a.d.a., in form acceptable to the city attorney, for said purpose; authorizing the issuance of the appropriate notices to proceed to a.d.a., subject to the availability of funds; further authorizing the city manager to negotiate and execu te any and all other documents, including any amendments, renewals, and extensions, subject to all allocations, appropriations, prior budgetary approvals, compliance with all applicable provisions of the code of the city of miami, florida, as amended (cit code), including the citys procurement ordinance, anti deficiency act, and financial integrity principles, all as set forth in chapter 18 of the city code, in forms acceptable to the city attorney, and in compliance with all applicable laws, rules, and regulations, as may be deemed necessary for said purpose. city commission meeting agenda january 13, 2022 city of miami page 18 printed on 2022 re.2 11309 resolution","Miami City Commission approves civil engineering services for Shorecrest road and drainage improvements by A.D.A. Engineering for $1,196,273.56, allocating funds from OCI project and departmental budgets"
"resolution of the miami city commission amending appropriations and making de appropriations and re appropriations relating to the city of miami (city) general fund for the 2021 22 fiscal year as adopted september 23, 2021 pursuant to resolution no. 210402 and as previously amended pursuant to resolution no. r210408 adopted october 1, 2021; authorizing the city manager to make any necessary changes to adjust, ame nd, and appropriate the fiscal year 2021 2022 operating budget, five year financial plan, strategic plan, and multi year capital plan regarding city services and resources as necessary, legally allowed, and applicable in order to create and fund one (1) sergeant at arms position for the city of miamis police department; ratifying, approving, and confirming certain necessary actions of the city manager and designated city departments to update the relevant financial controls, project close outs, accounting entries, and computer systems; providing for an immediate effective date. sponsor (s): commissioner alex diaz de la portilla re.3 11310 resolution","Miami City Commission authorizes necessary adjustments to create and fund one sergeant at arms position for the police department, a"
"an ordinance of the miami city commission ame nding chapter 54 of the code of the city of miami, florida, as amended, titled streets and sidewalks; specifically by amending article 1, titled in general, to allow advertisements on newsracks and by amending article vii, titled newsracks on public ightsofway, to allow electronic newsracks and establish requirements for electronic newsracks; containing severability clause; and providing for an effective date. sponsor (s): mayor francis x. suarez history: 10 14 21 city commission passed on first reading next: 11 18 21 result: passed on first reading [unanimous] next: 11 18 2021 9:00 am mover: joe carollo, vice chair, district three seconder: manolo reyes, commissioner, district four ayes: ken russell, joe carollo, manolo reyes, jeffrey wats on absent: alex diaz de la portilla 11 18 21 city commission deferred next: 01 13 22 result: deferred [unanimous] next: 13 2022 9:00 am mover: joe carollo, vice chair, district three seconder: manolo reyes, commissioner, district four ayes: russell, dia de la portilla, carollo, reyes, king city commission meeting agenda january 13, 2022 city of miami page 20 printed on 2022 sr.2 11136 ordinance second reading",The Miami City Commission is considering an ordinance to amend the city code to allow advertisements on newsracks and establish requirements for electronic newsracks.
"an ordinance of the miami city commission amending chapter article ii of the code of the city of miami, florida, as amended, entitled administration mayor and city commission, more particularly by amending section 33 to exempt the motorized scooter pilot program from the duration requirements pertaining to pilot programs; containing severability clause; and providing for an effective date. sponsor (s): commissioner alex diaz de la portilla history: 12 09 21 city commission passed on first reading next: 01 13 22 result: passed on first reading [3 to 2] next: 13 2022 9:00 am mover: ken russell, commissio ner, district two seconder: alex diaz de la portilla, commissioner, district one ayes: christine king, ken russell, alex diaz de la portilla nays: joe carollo, manolo reyes end of second reading ordinances city commission meeting agenda january 13, 2022 city of miami page 21 printed on 2022 fr first reading ordinances note: any propo sed ordinance listed as an item for first reading in this section may be adopted as an emergency measure upon being so determined by the city commission. fr.1 10838 city managers office ordinance first reading",The Miami City Commission passed an ordinance amending the code of the city of Miami to exempt the motorized scooter pilot program from duration requirements.
"an ordinance of the miami city commission amending chapter 40 article iv division of the code of the city of miami, florida, as amended (city code), titled personnel pension and retirement plan city of miami general employees and anitation employees' retirement trust; more particularly by amending sections 40 254 and 40 255, titled paybacks for membership credit, and benefits, respectively, to amend the service retirement benefits, provide for purchase of credit for certain no nmembership service, and amend the definitions of average final compensation and normal retirement age; further amending chapter 40 article iv division of the city code, titled personnel pension and retirement plan trust fund for appointed officers and employees in executive service; more particularly by amending section 40 351 of the city code, titled trust fund for appointed officers and employees in executive service, to allow certain executive officers and employees to elect to participate in eith er the trust fund for appointed officers and employees in executive service or the city of miami general employees and sanitation employees' retirement trust and providing for the purchase of prior service; containing severability clause; and providing for an immediate effective date. note for the record: 60 day public comment period: october 15, 2021 december 13, 2021 history: 10 14 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am city commission meeting agenda january 13, 2022 city of miami page 22 printed on 2022 fr.2 11120 office of the city attorney ordinance first reading","The Miami City Commission proposed amending the Personnel Pension and Retirement Plan for city employees, including amendments to service retirement benefits and allowing certain executive officers and employees to choose between retirement trusts."
"an ordinance of the miami city commission modifying the number of attorneys in the office of the city attorney (oca) with funding, when needed or additional attorneys, as allowed, shall be by budget resolution; containing severability clause; and providing for an effective date. history: 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am fr.3 11219 office of the city attorney ordinance first reading","The Miami City Commission proposes to modify the number of attorneys in the Office of the City Attorney based on funding, with additional attorneys approved by budget resolution."
"an ordinance of the miami city commission amending chapter 62 article xvi section 62 655 of the code of the city of miami, flori da, as amended (city code), titled art in public places board; more particularly by amending section 62 655(c)(4) to specify that the art in public places boards approval, approval with conditions, or denial of proposed installations, dedications, or donations of art based on the public art program guidelines and public art master plan is not applicable to proposed installations, dedications, or donations of art that have been approved by the miami city commission; containing severability clause; and providing for an effective date. city commission meeting agenda january 13, 2022 city of miami page 23 printed on 2022 fr.4 9022 ordinance first reading",The Miami City Commission proposes amending the city code's Art in Public Places Board section to exempt certain art installations approved by the commission.
"an ordinance of the miami city commission, by four fifths (4 5ths) affirmative vote, amending chapter 31 of the co de the city of miami, florida, as amended, titled local business tax and miscellaneous business regulations, creating article v, titled hourly hotel motel rentals, prohibiting hotels and motels located in the city of miami from renting hotel and mot el ooms on an hourly basis; more particularly by creating section 31 88, titled hotel motel hourly rentals prohibited; section 31 89, titled penalties; section 31 90 titled cumulative remedies; section 31 91, titled immunity; section 31 92, titled severability of ordinance; containing severability clause; providing for an effective date. sponsor (s): commissioner alex diaz de la portilla history: 05 13 21 city commission deferred next: 06 24 21 result: deferred [4 to 1] next: 24 2021 9:00 am mover: manolo reyes, commissioner, district four seconder: joe carollo, vice chair, district three ayes: ken russell, joe carollo, manolo reyes, jeffrey watson nays: alex diaz de la portilla 06 24 21 city commission deferred next: 07 08 21 result: deferred [unanimous] next: 2021 9:00 am mover: manolo reyes, commissioner, district four seconder: ken russell, commissioner, district two ayes: ken russell, alex diaz de la portilla, joe carollo, manolo reyes absent: jeffrey watson 07 08 21 city comm ission indefinitely deferred next: 01 13 22 result: indefinitely deferred [unanimous] next: 13 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: manolo reyes, commissioner, district four ayes: russell, diaz de la portill a, carollo, reyes, watson city commission meeting agenda january 13, 2022 city of miami page 24 printed on 2022 fr.5 11135 ordinance first reading","An ordinance prohibiting hotels and motels in the City of Miami from renting rooms on an hourly basis, with penalties and cumulative remedies."
"an ordinance of the miami city commission amending chapter of the code of the city of miami, florida, as amended (city code) titled bicycles, skateboards, scooters, and other similar devices, modifying and providing for additional safety measures and other regulations; and adding division to provide for the permanent motorized scooter program; containing severability cla use; and providing for an effective date. sponsor (s): commissioner alex diaz de la portilla history: 12 09 21 city commission continued next: 01 13 22 result: continued [unanimous] next: 13 2022 9:00 am mover: alex diaz de la portilla, commissio ner, district one seconder: manolo reyes, commissioner, district four ayes: king, carollo, russell, diaz de la portilla, reyes end of first reading ordinances city commission meeting agenda january 13, 2022 city of miami page 25 printed on 2022 bc boards and committees bc.1 8938 office of the city clerk resolution","The Miami City Commission is proposing an ordinance to amend regulations for bicycles, skateboards, scooters, and similar devices, adding safety measures and a permanent motorized scooter program."
